,Players,Base Price,TYPE,COST IN â‚¹ (CR.),Cost IN $ (000),2023 Squad,Team
0,Spencer Johnson,5000000,BOWLER,10.0,1200.0,Not Mentioned,Gujrat Titans
1,Shahrukh Khan,4000000,ALL-ROUNDER,7.4,888.0,PBKS,Gujrat Titans
2,Umesh Yadav,20000000,BOWLER,5.8,696.0,KKR,Gujrat Titans
3,Robin Minz,2000000,WICKETKEEPER,3.6,432.0,Not Mentioned,Gujrat Titans
4,Sushant Mishra,2000000,BOWLER,2.2,264.0,Not Mentioned,Gujrat Titans
5,Kartik Tyagi,2000000,BOWLER,0.6,72.0,SRH,Gujrat Titans
6,Azmatullah Omarzai,5000000,ALL-ROUNDER,0.5,60.0,Not Mentioned,Gujrat Titans
7,Manav Suthar,2000000,BOWLER,0.2,24.0,Not Mentioned,Gujrat Titans
8,David Miller,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
9,Shubman Gill,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
10,Matthew Wade,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
11,Wriddhiman Saha,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
12,Kane Williamson,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
13,Abhinav Manohar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
14,B. Sai Sudharsan,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
15,Darshan Nalkande,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
16,Vijay Shankar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
17,Jayant Yadav,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
18,Rahul Tewatia,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
19,Mohammed Shami,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
20,Noor Ahmad,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
21,R. Sai Kishore,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
22,Rashid Khan,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
23,Joshua Little,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
24,Mohit Sharma,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Gujrat Titans
25,Daryl Mitchell,10000000,ALL-ROUNDER,14.0,1680.0,Not Mentioned,Chennai Super Kings
26,Sameer Rizvi,2000000,BATTER,8.4,1008.0,Not Mentioned,Chennai Super Kings
27,Shardul Thakur,20000000,ALL-ROUNDER,4.0,480.0,KKR,Chennai Super Kings
28,Mustafizur Rahman,20000000,BOWLER,2.0,240.0,DC,Chennai Super Kings
29,Rachin Ravindra,5000000,ALL-ROUNDER,1.8,216.0,Not Mentioned,Chennai Super Kings
30,Avanish Rao Aravelly,2000000,WICKETKEEPER,0.2,24.0,Not Mentioned,Chennai Super Kings
31,MS Dhoni,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
32,Moeen Ali,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
33,Deepak Chahar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
34,Devon Conway,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
35,Tushar Deshpande,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
36,Shivam Dube,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
37,Ruturaj Gaikwad,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
38,Rajvardhan Hangargekar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
39,Ravindra Jadeja,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
40,Ajay Mandal,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
41,Mukesh Choudhary,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
42,Matheesha Pathirana,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
43,Ajinkya Rahane,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
44,Shaik Rasheed,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
45,Mitchell Santner,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
46,Simarjeet Singh,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
47,Nishant Sindhu,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
48,Prashant Solanki,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
49,Maheesh Theekshana,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Chennai Super Kings
50,Kumar Kushagra,2000000,WICKETKEEPER,7.2,864.0,Not Mentioned,Delhi Capitals
51,Jhye Richardson,15000000,BOWLER,5.0,600.0,Not Mentioned,Delhi Capitals
52,Harry Brook,20000000,BATTER,4.0,480.0,SRH,Delhi Capitals
53,Sumit Kumar,2000000,ALL-ROUNDER,1.0,120.0,Not Mentioned,Delhi Capitals
54,Shai Hope,7500000,WICKETKEEPER,0.75,90.0,Not Mentioned,Delhi Capitals
55,Tristan Stubbs,5000000,WICKETKEEPER,0.5,60.0,MI,Delhi Capitals
56,Ricky Bhui,2000000,WICKETKEEPER,0.2,24.0,Not Mentioned,Delhi Capitals
57,Rasikh Dar,2000000,BOWLER,0.2,24.0,Not Mentioned,Delhi Capitals
58,Swastik Chhikara,2000000,BATTER,0.2,24.0,Not Mentioned,Delhi Capitals
59,Rishabh Pant,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
60,Pravin Dubey,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
61,David Warner,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
62,Vicky Ostwal,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
63,Prithvi Shaw,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
64,Anrich Nortje,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
65,Abishek Porel,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
66,Kuldeep Yadav,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
67,Axar Patel,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
68,Lungi Ngidi,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
69,Lalit Yadav,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
70,Khaleel Ahmed,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
71,Mitchell Marsh,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
72,Ishant Sharma,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
73,Yash Dhull,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
74,Mukesh Kumar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Delhi Capitals
75,Mitchell Starc,20000000,BOWLER,24.75,2970.0,Not Mentioned,Kolkata Night Riders
76,Mujeeb Rahman,20000000,BOWLER,2.0,240.0,Not Mentioned,Kolkata Night Riders
77,Sherfane Rutherford,15000000,BATTER,1.5,180.0,Not Mentioned,Kolkata Night Riders
78,Gus Atkinson,10000000,BOWLER,1.0,120.0,Not Mentioned,Kolkata Night Riders
79,Manish Pandey,5000000,BATTER,0.5,60.0,DC,Kolkata Night Riders
80,K.S. Bharat,5000000,WICKETKEEPER,0.5,60.0,GT,Kolkata Night Riders
81,Chetan Sakariya,5000000,BOWLER,0.5,60.0,DC,Kolkata Night Riders
82,Angkrish Raghuvanshi,2000000,BATTER,0.2,24.0,Not Mentioned,Kolkata Night Riders
83,Ramandeep Singh,2000000,ALL-ROUNDER,0.2,24.0,MI,Kolkata Night Riders
84,Sakib Hussain,2000000,BOWLER,0.2,24.0,Not Mentioned,Kolkata Night Riders
85,Nitish Rana,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
86,Rinku Singh,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
87,Rahmanullah Gurbaz,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
88,Shreyas Iyer,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
89,Jason Roy,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
90,Sunil Narine,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
91,Suyash Sharma,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
92,Anukul Roy,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
93,Andre Russell,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
94,Venkatesh Iyer,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
95,Harshit Rana,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
96,Vaibhav Arora,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
97,Varun Chakaravarthy,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Kolkata Night Riders
98,Harshal Patel,20000000,ALL-ROUNDER,11.75,1410.0,RCB,Punjab Kings
99,Rilee Rossouw,20000000,BATTER,8.0,960.0,DC,Punjab Kings
100,Chris Woakes,20000000,ALL-ROUNDER,4.2,504.0,Not Mentioned,Punjab Kings
101,Ashutosh Sharma,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Punjab Kings
102,Vishwanath Pratap Singh,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Punjab Kings
103,Shashank Singh,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Punjab Kings
104,Tanay Thyagarajann,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Punjab Kings
105,Prince Choudhary,2000000,BOWLER,0.2,24.0,Not Mentioned,Punjab Kings
106,Shikhar Dhawan,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
107,Liam Livingstone,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
108,Jonny Bairstow,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
109,Gurnoor Singh Brar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
110,Jitesh Sharma,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
111,Shivam Singh,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
112,Rahul Chahar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
113,Prabhsimran Singh,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
114,Matthew Short,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
115,Arshdeep Singh,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
116,Harpreet Bhatia,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
117,Harpreet Brar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
118,Atharva Taide,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
119,Vidwath Kaverappa,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
120,Rishi Dhawan,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
121,Kagiso Rabada,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
122,Sam Curran,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
123,Nathan Ellis,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
124,Sikandar Raza,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Punjab Kings
125,Devdutt Padikkal,Traded,UNKNOWN,,,Not Mentioned,Lucknow Super Giants
126,Shivam Mavi,5000000,BOWLER,6.4,768.0,GT,Lucknow Super Giants
127,M. Siddharth,2000000,BOWLER,2.4,288.0,Not Mentioned,Lucknow Super Giants
128,David Willey,20000000,ALL-ROUNDER,2.0,240.0,RCB,Lucknow Super Giants
129,Ashton Turner,10000000,BATTER,1.0,120.0,Not Mentioned,Lucknow Super Giants
130,Mohd. Arshad Khan,2000000,ALL-ROUNDER,0.2,24.0,MI,Lucknow Super Giants
131,Arshin Kulkarni,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Lucknow Super Giants
132,KL Rahul,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
133,Quinton de Kock,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
134,Nicholas Pooran,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
135,Ayush Badoni,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
136,Kyle Mayers,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
137,Marcus Stoinis,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
138,Deepak Hooda,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
139,Ravi Bishnoi,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
140,Naveen-ul-Haq,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
141,Krunal Pandya,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
142,Yudhvir Singh,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
143,Prerak Mankad,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
144,Yash Thakur,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
145,Amit Mishra,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
146,Mark Wood,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
147,Mayank Yadav,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
148,Mohsin Khan,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Lucknow Super Giants
149,Hardik Pandya,Traded,UNKNOWN,,,Not Mentioned,Mumbai Indians
150,Romario Shepherd,Traded,UNKNOWN,,,Not Mentioned,Mumbai Indians
151,Gerald Coetzee,20000000,ALL-ROUNDER,5.0,600.0,Not Mentioned,Mumbai Indians
152,Nuwan Thushara,5000000,BOWLER,4.8,576.0,Not Mentioned,Mumbai Indians
153,Mohammad Nabi,15000000,ALL-ROUNDER,1.5,180.0,Not Mentioned,Mumbai Indians
154,Shreyas Gopal,2000000,BOWLER,0.2,24.0,Not Mentioned,Mumbai Indians
155,Naman Dhir,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Mumbai Indians
156,Anshul Kamboj,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Mumbai Indians
157,Shivalik Sharma,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Mumbai Indians
158,Dilshan Madushanka,5000000,BOWLER,4.6,0.0,Not Mentioned,Mumbai Indians
159,Rohit Sharma,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
160,Dewald Brevis,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
161,Suryakumar Yadav,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
162,Ishan Kishan,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
163,Tilak Varma,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
164,Tim David,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
165,Vishnu Vinod,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
166,Arjun Tendulkar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
167,Cameron Green,Traded,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
168,Shams Mulani,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
169,Nehal Wadhera,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
170,Jasprit Bumrah,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
171,Kumar Kartikeya,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
172,Piyush Chawla,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
173,Akash Madhwal,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
174,Jason Behrendorff,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Mumbai Indians
175,Mayank Dagar,Traded,UNKNOWN,,,Not Mentioned,Royal Challengers Banglore
176,Cameron Green,Traded,UNKNOWN,,,Not Mentioned,Royal Challengers Banglore
177,Alzarri Joseph,10000000,BOWLER,11.5,1380.0,GT,Royal Challengers Banglore
178,Yash Dayal,2000000,BOWLER,5.0,600.0,GT,Royal Challengers Banglore
179,Lockie Ferguson,20000000,BOWLER,2.0,240.0,KKR,Royal Challengers Banglore
180,Tom Curran,15000000,ALL-ROUNDER,1.5,180.0,Not Mentioned,Royal Challengers Banglore
181,Saurav Chuahan,2000000,BATTER,0.2,24.0,Not Mentioned,Royal Challengers Banglore
182,Swapnil Singh,2000000,ALL-ROUNDER,0.2,24.0,LSG,Royal Challengers Banglore
183,Faf du Plessis,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
184,Glenn Maxwell,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
185,Virat Kohli,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
186,Rajat Patidar,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
187,Anuj Rawat,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
188,Dinesh Karthik,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
189,Suyash Prabhudessai,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
190,Will Jacks,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
191,Mahipal Lomror,Retained,UNKNOWN,0.0,0.0,Not Mentioned,Royal Challengers Banglore
