,Players,Base Price,TYPE,COST IN â‚¹ (CR.),Cost IN $ (000),2023 Squad,Team
426,L.R. Chethan,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
427,Gourav Choudhary,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
428,Harvik Desai,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
429,Shakir Gandhi,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
430,Sumit Ghadigaonkar,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
431,Baba Indrajith,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
432,Bhagmender Lather,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
433,Anmol Malhotra,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
434,Darshan Misal,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
435,Nikhil Naik,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
436,Prasad Pawar,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
437,Mahesh Pithiya,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
438,William Salzmann,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
439,Bipin Saurabh,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
440,B.R. Sharath,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
441,K.L. Shrijith,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
442,Avneesh Sudha,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
443,Aditya Tare,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
444,Nihal Ullal,2000000,WICKETKEEPER,,,Not Mentioned,Unsold
445,K.M Asif,2000000,BOWLER,,,RR,Unsold
446,Mohit Avasthi,2000000,BOWLER,,,Not Mentioned,Unsold
447,Ottneil Baartman,2000000,BOWLER,,,Not Mentioned,Unsold
448,Basit Bashir,2000000,BOWLER,,,Not Mentioned,Unsold
449,Waseem Bashir,2000000,BOWLER,,,Not Mentioned,Unsold
450,Sachin Bhosale,2000000,BOWLER,,,Not Mentioned,Unsold
451,Devendra Singh Bora,2000000,BOWLER,,,Not Mentioned,Unsold
452,Gurnoor Singh Brar,2000000,BOWLER,,,PBKS,Unsold
453,Saurabh Dubey,2000000,BOWLER,,,Not Mentioned,Unsold
454,Mrinmoy Dutta,2000000,BOWLER,,,Not Mentioned,Unsold
455,Vishal Godara,2000000,BOWLER,,,Not Mentioned,Unsold
456,Money Grewal,2000000,BOWLER,,,Not Mentioned,Unsold
457,Arpit Guleria,2000000,BOWLER,,,LSG,Unsold
458,Mukhtar Hussain,2000000,BOWLER,,,Not Mentioned,Unsold
459,Shamar Joseph,2000000,BOWLER,,,Not Mentioned,Unsold
460,Mohammed Kaif,2000000,BOWLER,,,Not Mentioned,Unsold
461,Shubham Kapse,2000000,BOWLER,,,Not Mentioned,Unsold
462,Devang Karamta,2000000,BOWLER,,,Not Mentioned,Unsold
463,Kulwant Khejroliya,2000000,BOWLER,,,KKR,Unsold
464,Ravi Kumar,2000000,BOWLER,,,Not Mentioned,Unsold
465,Ashwani Kumar,2000000,BOWLER,,,Not Mentioned,Unsold
466,Raj Limbani,2000000,BOWLER,,,Not Mentioned,Unsold
467,Kwena Maphaka,2000000,BOWLER,,,Not Mentioned,Unsold
468,Lukman Hussain Meriwala,2000000,BOWLER,,,Not Mentioned,Unsold
469,Venkatesh Muralidhara,2000000,BOWLER,,,Not Mentioned,Unsold
470,William O'Rourke,2000000,BOWLER,,,Not Mentioned,Unsold
471,Rakshan Readdi,2000000,BOWLER,,,Not Mentioned,Unsold
472,Manish Reddy,2000000,BOWLER,,,Not Mentioned,Unsold
473,Monish Reddy,2000000,BOWLER,,,Not Mentioned,Unsold
474,Akhin Sathar,2000000,BOWLER,,,Not Mentioned,Unsold
475,Divesh Sharma,2000000,BOWLER,,,Not Mentioned,Unsold
476,Ashok Sharma,2000000,BOWLER,,,Not Mentioned,Unsold
477,Abhilash Shetty,2000000,BOWLER,,,Not Mentioned,Unsold
478,Rahul Shukla,2000000,BOWLER,,,Not Mentioned,Unsold
479,Manit Singh,2000000,BOWLER,,,Not Mentioned,Unsold
480,Gurjapneet Singh,2000000,BOWLER,,,Not Mentioned,Unsold
481,Basil Thampi,3000000,BOWLER,,,Not Mentioned,Unsold
482,Paul Van Meekeren,2000000,BOWLER,,,Not Mentioned,Unsold
483,Nitin Verma,2000000,BOWLER,,,Not Mentioned,Unsold
484,Chris Wood,2000000,BOWLER,,,Not Mentioned,Unsold
485,Gourav Yadav,2000000,BOWLER,,,Not Mentioned,Unsold
486,Lalit Yadav,3000000,BOWLER,,,Not Mentioned,Unsold
487,Prithvi Raj Yarra,2000000,BOWLER,,,Not Mentioned,Unsold
488,Mujtaba Yousuf,2000000,BOWLER,,,Not Mentioned,Unsold
489,Shubham Agrawal,2000000,BOWLER,,,Not Mentioned,Unsold
490,Mustaq Beg,2000000,BOWLER,,,Not Mentioned,Unsold
491,K.C Cariappa,2000000,BOWLER,,,RR,Unsold
492,Ganesh Chaudhary,2000000,BOWLER,,,Not Mentioned,Unsold
493,Yuvraj Chudasama,2000000,BOWLER,,,Not Mentioned,Unsold
494,Jasmer Dhankhar,2000000,BOWLER,,,Not Mentioned,Unsold
495,Chintal Gandhi,2000000,BOWLER,,,Not Mentioned,Unsold
496,Allah Ghazanfar,2000000,BOWLER,,,Not Mentioned,Unsold
497,Raghav Goyal,2000000,BOWLER,,,MI,Unsold
498,Shreyas Gurav,2000000,BOWLER,,,Not Mentioned,Unsold
499,Vishu Kashyap,2000000,BOWLER,,,Not Mentioned,Unsold
500,S Midhun,3000000,BOWLER,,,Not Mentioned,Unsold
501,Izharulhuq Naveed,3000000,BOWLER,,,Not Mentioned,Unsold
502,Bhuwan Rohilla,2000000,BOWLER,,,Not Mentioned,Unsold
503,Shivam Sharma,2000000,BOWLER,,,Not Mentioned,Unsold
504,Digvesh Singh,2000000,BOWLER,,,Not Mentioned,Unsold
505,Jagadeesha Suchith,2000000,BOWLER,,,Not Mentioned,Unsold
506,B. Surya,2000000,BOWLER,,,Not Mentioned,Unsold
507,Pankaj Yadav,2000000,BOWLER,,,Not Mentioned,Unsold
508,Rohit Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
509,Dewald Brevis,Retained,UNKNOWN,,,Not Mentioned,Unsold
510,Suryakumar Yadav,Retained,UNKNOWN,,,Not Mentioned,Unsold
511,Ishan Kishan,Retained,UNKNOWN,,,Not Mentioned,Unsold
512,Tilak Varma,Retained,UNKNOWN,,,Not Mentioned,Unsold
513,Tim David,Retained,UNKNOWN,,,Not Mentioned,Unsold
514,Vishnu Vinod,Retained,UNKNOWN,,,Not Mentioned,Unsold
515,Arjun Tendulkar,Retained,UNKNOWN,,,Not Mentioned,Unsold
516,Shams Mulani,Retained,UNKNOWN,,,Not Mentioned,Unsold
517,Nehal Wadhera,Retained,UNKNOWN,,,Not Mentioned,Unsold
518,Jasprit Bumrah,Retained,UNKNOWN,,,Not Mentioned,Unsold
519,Kumar Kartikeya,Retained,UNKNOWN,,,Not Mentioned,Unsold
520,Piyush Chawla,Retained,UNKNOWN,,,Not Mentioned,Unsold
521,Akash Madhwal,Retained,UNKNOWN,,,Not Mentioned,Unsold
522,Jason Behrendorff,Retained,UNKNOWN,,,Not Mentioned,Unsold
523,Faf du Plessis,Retained,UNKNOWN,,,Not Mentioned,Unsold
524,Glenn Maxwell,Retained,UNKNOWN,,,Not Mentioned,Unsold
525,Virat Kohli,Retained,UNKNOWN,,,Not Mentioned,Unsold
526,Rajat Patidar,Retained,UNKNOWN,,,Not Mentioned,Unsold
527,Anuj Rawat,Retained,UNKNOWN,,,Not Mentioned,Unsold
528,Dinesh Karthik,Retained,UNKNOWN,,,Not Mentioned,Unsold
529,Suyash Prabhudessai,Retained,UNKNOWN,,,Not Mentioned,Unsold
530,Will Jacks,Retained,UNKNOWN,,,Not Mentioned,Unsold
531,Mahipal Lomror,Retained,UNKNOWN,,,Not Mentioned,Unsold
532,Karn Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
533,Manoj Bhandage,Retained,UNKNOWN,,,Not Mentioned,Unsold
534,Vyshak Vijaykumar,Retained,UNKNOWN,,,Not Mentioned,Unsold
535,Akash Deep,Retained,UNKNOWN,,,Not Mentioned,Unsold
536,Mohammed Siraj,Retained,UNKNOWN,,,Not Mentioned,Unsold
537,Reece Topley,Retained,UNKNOWN,,,Not Mentioned,Unsold
538,Himanshu Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
539,Rajan Kumar,Retained,UNKNOWN,,,Not Mentioned,Unsold
540,David Miller,Retained,UNKNOWN,,,Not Mentioned,Unsold
541,Shubman Gill,Retained,UNKNOWN,,,Not Mentioned,Unsold
542,Matthew Wade,Retained,UNKNOWN,,,Not Mentioned,Unsold
543,Wriddhiman Saha,Retained,UNKNOWN,,,Not Mentioned,Unsold
544,Kane Williamson,Retained,UNKNOWN,,,Not Mentioned,Unsold
545,Abhinav Manohar,Retained,UNKNOWN,,,Not Mentioned,Unsold
546,B. Sai Sudharsan,Retained,UNKNOWN,,,Not Mentioned,Unsold
547,Darshan Nalkande,Retained,UNKNOWN,,,Not Mentioned,Unsold
548,Vijay Shankar,Retained,UNKNOWN,,,Not Mentioned,Unsold
549,Jayant Yadav,Retained,UNKNOWN,,,Not Mentioned,Unsold
550,Rahul Tewatia,Retained,UNKNOWN,,,Not Mentioned,Unsold
551,Mohammed Shami,Retained,UNKNOWN,,,Not Mentioned,Unsold
552,Noor Ahmad,Retained,UNKNOWN,,,Not Mentioned,Unsold
553,R. Sai Kishore,Retained,UNKNOWN,,,Not Mentioned,Unsold
554,Rashid Khan,Retained,UNKNOWN,,,Not Mentioned,Unsold
555,Joshua Little,Retained,UNKNOWN,,,Not Mentioned,Unsold
556,Mohit Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
557,KL Rahul,Retained,UNKNOWN,,,Not Mentioned,Unsold
558,Quinton de Kock,Retained,UNKNOWN,,,Not Mentioned,Unsold
559,Nicholas Pooran,Retained,UNKNOWN,,,Not Mentioned,Unsold
560,Ayush Badoni,Retained,UNKNOWN,,,Not Mentioned,Unsold
561,Kyle Mayers,Retained,UNKNOWN,,,Not Mentioned,Unsold
562,Marcus Stoinis,Retained,UNKNOWN,,,Not Mentioned,Unsold
563,Deepak Hooda,Retained,UNKNOWN,,,Not Mentioned,Unsold
564,Ravi Bishnoi,Retained,UNKNOWN,,,Not Mentioned,Unsold
565,Naveen-ul-Haq,Retained,UNKNOWN,,,Not Mentioned,Unsold
566,Krunal Pandya,Retained,UNKNOWN,,,Not Mentioned,Unsold
567,Yudhvir Singh,Retained,UNKNOWN,,,Not Mentioned,Unsold
568,Prerak Mankad,Retained,UNKNOWN,,,Not Mentioned,Unsold
569,Yash Thakur,Retained,UNKNOWN,,,Not Mentioned,Unsold
570,Amit Mishra,Retained,UNKNOWN,,,Not Mentioned,Unsold
571,Mark Wood,Retained,UNKNOWN,,,Not Mentioned,Unsold
572,Mayank Yadav,Retained,UNKNOWN,,,Not Mentioned,Unsold
573,Mohsin Khan,Retained,UNKNOWN,,,Not Mentioned,Unsold
574,Abdul Samad,Retained,UNKNOWN,,,Not Mentioned,Unsold
575,Aiden Markram,Retained,UNKNOWN,,,Not Mentioned,Unsold
576,Rahul Tripathi,Retained,UNKNOWN,,,Not Mentioned,Unsold
577,Glenn Phillips,Retained,UNKNOWN,,,Not Mentioned,Unsold
578,Heinrich Klaasen,Retained,UNKNOWN,,,Not Mentioned,Unsold
579,Mayank Agarwal,Retained,UNKNOWN,,,Not Mentioned,Unsold
580,Anmolpreet Singh,Retained,UNKNOWN,,,Not Mentioned,Unsold
581,Upendra Singh Yadav,Retained,UNKNOWN,,,Not Mentioned,Unsold
582,Nitish Kumar Reddy,Retained,UNKNOWN,,,Not Mentioned,Unsold
583,Abhishek Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
584,Marco Jansen,Retained,UNKNOWN,,,Not Mentioned,Unsold
585,Washington Sundar,Retained,UNKNOWN,,,Not Mentioned,Unsold
586,Sanvir Singh,Retained,UNKNOWN,,,Not Mentioned,Unsold
587,Bhuvneshwar Kumar,Retained,UNKNOWN,,,Not Mentioned,Unsold
588,T Natarajan,Retained,UNKNOWN,,,Not Mentioned,Unsold
589,Mayank Markande,Retained,UNKNOWN,,,Not Mentioned,Unsold
590,Umran Malik,Retained,UNKNOWN,,,Not Mentioned,Unsold
591,Fazalhaq Farooqi,Retained,UNKNOWN,,,Not Mentioned,Unsold
592,Nitish Rana,Retained,UNKNOWN,,,Not Mentioned,Unsold
593,Rinku Singh,Retained,UNKNOWN,,,Not Mentioned,Unsold
594,Rahmanullah Gurbaz,Retained,UNKNOWN,,,Not Mentioned,Unsold
595,Shreyas Iyer,Retained,UNKNOWN,,,Not Mentioned,Unsold
596,Jason Roy,Retained,UNKNOWN,,,Not Mentioned,Unsold
597,Sunil Narine,Retained,UNKNOWN,,,Not Mentioned,Unsold
598,Suyash Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
599,Anukul Roy,Retained,UNKNOWN,,,Not Mentioned,Unsold
600,Andre Russell,Retained,UNKNOWN,,,Not Mentioned,Unsold
601,Venkatesh Iyer,Retained,UNKNOWN,,,Not Mentioned,Unsold
602,Harshit Rana,Retained,UNKNOWN,,,Not Mentioned,Unsold
603,Vaibhav Arora,Retained,UNKNOWN,,,Not Mentioned,Unsold
604,Varun Chakaravarthy,Retained,UNKNOWN,,,Not Mentioned,Unsold
605,Shikhar Dhawan,Retained,UNKNOWN,,,Not Mentioned,Unsold
606,Liam Livingstone,Retained,UNKNOWN,,,Not Mentioned,Unsold
607,Jonny Bairstow,Retained,UNKNOWN,,,Not Mentioned,Unsold
608,Gurnoor Singh Brar,Retained,UNKNOWN,,,Not Mentioned,Unsold
609,Jitesh Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
610,Shivam Singh,Retained,UNKNOWN,,,Not Mentioned,Unsold
611,Rahul Chahar,Retained,UNKNOWN,,,Not Mentioned,Unsold
612,Prabhsimran Singh,Retained,UNKNOWN,,,Not Mentioned,Unsold
613,Matthew Short,Retained,UNKNOWN,,,Not Mentioned,Unsold
614,Arshdeep Singh,Retained,UNKNOWN,,,Not Mentioned,Unsold
615,Harpreet Bhatia,Retained,UNKNOWN,,,Not Mentioned,Unsold
616,Harpreet Brar,Retained,UNKNOWN,,,Not Mentioned,Unsold
617,Atharva Taide,Retained,UNKNOWN,,,Not Mentioned,Unsold
618,Vidwath Kaverappa,Retained,UNKNOWN,,,Not Mentioned,Unsold
619,Rishi Dhawan,Retained,UNKNOWN,,,Not Mentioned,Unsold
620,Kagiso Rabada,Retained,UNKNOWN,,,Not Mentioned,Unsold
621,Sam Curran,Retained,UNKNOWN,,,Not Mentioned,Unsold
622,Nathan Ellis,Retained,UNKNOWN,,,Not Mentioned,Unsold
623,Sikandar Raza,Retained,UNKNOWN,,,Not Mentioned,Unsold
624,Sanju Samson,Retained,UNKNOWN,,,Not Mentioned,Unsold
625,Jos Buttler,Retained,UNKNOWN,,,Not Mentioned,Unsold
626,Shimron Hetmyer,Retained,UNKNOWN,,,Not Mentioned,Unsold
627,Yashasvi Jaiswal,Retained,UNKNOWN,,,Not Mentioned,Unsold
628,Dhruv Jurel,Retained,UNKNOWN,,,Not Mentioned,Unsold
629,Riyan Parag,Retained,UNKNOWN,,,Not Mentioned,Unsold
630,Donovan Ferreira,Retained,UNKNOWN,,,Not Mentioned,Unsold
631,Kunal Rathore,Retained,UNKNOWN,,,Not Mentioned,Unsold
632,Ravichandran Ashwin,Retained,UNKNOWN,,,Not Mentioned,Unsold
633,Kuldeep Sen,Retained,UNKNOWN,,,Not Mentioned,Unsold
634,Navdeep Saini,Retained,UNKNOWN,,,Not Mentioned,Unsold
635,Prasidh Krishna,Retained,UNKNOWN,,,Not Mentioned,Unsold
636,Sandeep Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
637,Trent Boult,Retained,UNKNOWN,,,Not Mentioned,Unsold
638,Yuzvendra Chahal,Retained,UNKNOWN,,,Not Mentioned,Unsold
639,Adam Zampa,Retained,UNKNOWN,,,Not Mentioned,Unsold
640,Rishabh Pant,Retained,UNKNOWN,,,Not Mentioned,Unsold
641,Pravin Dubey,Retained,UNKNOWN,,,Not Mentioned,Unsold
642,David Warner,Retained,UNKNOWN,,,Not Mentioned,Unsold
643,Vicky Ostwal,Retained,UNKNOWN,,,Not Mentioned,Unsold
644,Prithvi Shaw,Retained,UNKNOWN,,,Not Mentioned,Unsold
645,Anrich Nortje,Retained,UNKNOWN,,,Not Mentioned,Unsold
646,Abishek Porel,Retained,UNKNOWN,,,Not Mentioned,Unsold
647,Kuldeep Yadav,Retained,UNKNOWN,,,Not Mentioned,Unsold
648,Axar Patel,Retained,UNKNOWN,,,Not Mentioned,Unsold
649,Lungi Ngidi,Retained,UNKNOWN,,,Not Mentioned,Unsold
650,Lalit Yadav,Retained,UNKNOWN,,,Not Mentioned,Unsold
651,Khaleel Ahmed,Retained,UNKNOWN,,,Not Mentioned,Unsold
652,Mitchell Marsh,Retained,UNKNOWN,,,Not Mentioned,Unsold
653,Ishant Sharma,Retained,UNKNOWN,,,Not Mentioned,Unsold
654,Yash Dhull,Retained,UNKNOWN,,,Not Mentioned,Unsold
655,Mukesh Kumar,Retained,UNKNOWN,,,Not Mentioned,Unsold
656,MS Dhoni,Retained,UNKNOWN,,,Not Mentioned,Unsold
657,Moeen Ali,Retained,UNKNOWN,,,Not Mentioned,Unsold
658,Deepak Chahar,Retained,UNKNOWN,,,Not Mentioned,Unsold
659,Devon Conway,Retained,UNKNOWN,,,Not Mentioned,Unsold
660,Tushar Deshpande,Retained,UNKNOWN,,,Not Mentioned,Unsold
661,Shivam Dube,Retained,UNKNOWN,,,Not Mentioned,Unsold
662,Ruturaj Gaikwad,Retained,UNKNOWN,,,Not Mentioned,Unsold
663,Rajvardhan Hangargekar,Retained,UNKNOWN,,,Not Mentioned,Unsold
664,Ravindra Jadeja,Retained,UNKNOWN,,,Not Mentioned,Unsold
665,Ajay Mandal,Retained,UNKNOWN,,,Not Mentioned,Unsold
666,Mukesh Choudhary,Retained,UNKNOWN,,,Not Mentioned,Unsold
667,Matheesha Pathirana,Retained,UNKNOWN,,,Not Mentioned,Unsold
668,Ajinkya Rahane,Retained,UNKNOWN,,,Not Mentioned,Unsold
669,Shaik Rasheed,Retained,UNKNOWN,,,Not Mentioned,Unsold
670,Mitchell Santner,Retained,UNKNOWN,,,Not Mentioned,Unsold
671,Simarjeet Singh,Retained,UNKNOWN,,,Not Mentioned,Unsold
672,Nishant Sindhu,Retained,UNKNOWN,,,Not Mentioned,Unsold
673,Prashant Solanki,Retained,UNKNOWN,,,Not Mentioned,Unsold
674,Maheesh Theekshana,Retained,UNKNOWN,,,Not Mentioned,Unsold
